rank;id;tweeter;tweeterid;time;text;replies;reposts;likes;views;query;datetime;Hate Score;Hate Threatening Score;Self-Harm Score;Sexual Score;Sexual Minors Score;Violence Score;Violence Graphic Score;position
1;5e5d92018dfe2e94;855717c44a2d9a1a;b96c950d445a4eb5;2024-10-09T14:43:44.000Z;Er zijn er veel, die hier nog geen letter van gelezen hebben Wie heeft dat gelezen?  Autochtonen.  Daarin staat dat de koran vol staat met aansporingen om te denken, maar zien we daar iets van op het terrein?  Alvast niet bij de gast van lijst Fouad:;;;2;640;autochtonen;2024-10-13 10_18_03.146116;0.017801562324166;0.000005190078355;0.000079341458331;0.000311640382279;0.000180406714207;0.003322172211483;0.000174233384314;1. Against immigration, migrants, foreigners, refugees, or Muslims.
2;13f666d186c6a39b;2ee710fac2d25c50;da98618958c4d046;2024-10-08T09:15:38.000Z;"Waar vind je het nog in Nederland, #winkelcentra met 99% #autochtonen.
Het is gewoon weer even wennen #krimpen";2.0;;2;154;autochtonen;2024-10-13 10_18_03.146116;0.042774267494678;0.000049442536692;0.000249924021773;0.000069586239988;0.000033631218685;0.004338443744928;0.000116385977890;1. Against immigration, migrants, foreigners, refugees, or Muslims.
3;98b7e6541f23ac49;9c276bc361ef4302;5d0dc264ff8c19e7;2024-10-13T05:59:15.000Z;Racisme van allochtonen naar autochtonen is vaak groter dan omgekeerd. Maar dat is voor Nadji waarschijnlijk geen probleem. We kunnen alleen maar blij zijn met zo'n voorzitter van Groen die zich keer op keer opnieuw zichzelf in de voet schiet.;;;9;89;autochtonen;2024-10-13 10_18_03.146116;0.161729216575623;0.000001861382771;0.000318910955684;0.000584856374189;0.000084576349764;0.024531820788979;0.000039969243517;1. Against immigration, migrants, foreigners, refugees, or Muslims.
4;b5af36ecd5ee8655;668e2b73ac556a2f;c12f801eaf20fddc;2024-10-10T16:19:28.000Z;Simpel antwoord...teveel allochtonen en domme autochtonen;;;2;27;autochtonen;2024-10-13 10_18_03.146116;0.975184023380280;0.000131661523483;0.000009096110261;0.000054333748267;0.000002415904191;0.003566363360733;0.000004158213414;1. Against immigration, migrants, foreigners, refugees, or Muslims.
5;461cfe4a716a7372;0bc915cb3887473b;a2299c4d95fd2a6a;2024-10-11T19:13:05.000Z;Zeg struisvogeltje,doe jij weer lekker je koppie in het zand en droom lekker verder over je multiculturele samenleving die zo fantastisch werkt.Blijf ook vooral lekker ontkennen dat dit importtuig verhoudingsgewijs enorm veel vaker zeer gewelddadig is jegens autochtonen.Racisme;;;15;114;autochtonen;2024-10-13 10_18_03.146116;0.585444331169128;0.000279819592834;0.000163729899214;0.002695912262425;0.000208265206311;0.195932865142822;0.000400435033953;1. Against immigration, migrants, foreigners, refugees, or Muslims.
6;92f156724376799a;e3a87c16ec8d0e38;6ff36db189a357bf;2024-10-09T13:30:41.000Z;Het is zo slecht in NL dat de autochtonen tot de gezondste en langste mensen ter wereld behoren. Toeval natuurlijk.Ik vraag me nog dagelijks af hoe ik Amsterdam heb kunnen overleven in de jaren 50/60, iedereen een kolenkachel,omringd door platteland. En shit, we leven nog steeds;;;3;53;autochtonen;2024-10-13 10_18_03.146116;0.446902871131897;0.000079530000221;0.000358337565558;0.000015280762454;0.000000585384669;0.048184383660555;0.000614697462879;5. Is neutral.
7;bb799b3313fc6f9e;4c2475a500d8bee3;cdc5d65e520b496c;2024-10-09T12:42:55.000Z;Westerse dubbele standaarden: sinds kort is het in Nederland verboden om oorlogsmisdaden te verheerlijken, behalve de oorlogsmisdaden die door autochtonen worden verheerlijkt. Volgens het Internationaal Strafhof is een agressieoorlog een oorlogsmisdaad.;1.0;6.0;10;172;autochtonen;2024-10-13 10_18_03.146116;0.080323621630669;0.000227664626436;0.000090734007244;0.000201385351829;0.000114815826237;0.033110212534666;0.000195158936549;5. Is neutral.
8;2ec7e5d4262cd4b0;f150c635bf8d98e9;4ca56ea1d4b346ce;2024-10-07T22:30:17.000Z;de waarheid kwetst he! de waarheid kwetst enorm! je weet dat dit de waarheid is want dat is op 9 juni meer dan duidelijk geworden! Maar het grootste probleem is dat jullie van Nooit Voor Autochtonen meer dan een miljoen Vlamingen in de kou laten staan. Doe jullie oogkleppen af;;1.0;23;364;autochtonen;2024-10-13 10_18_03.146116;0.154500737786293;0.000255202467088;0.000111122433736;0.000023451359084;0.000015273579265;0.302491158246994;0.001451495219953;6. Other: Criticizes a political group.
9;e62ded349137f0d5;7450b35cc24d3945;d478b0e077a2c067;2024-10-10T15:34:27.000Z;Komt die bedreiging van allochtonen of autochtonen ?;;;2;30;autochtonen;2024-10-13 10_18_03.146116;0.059701152145863;0.000765433069318;0.000359205616405;0.000277305865893;0.000044587221055;0.033031821250915;0.000020462484827;5. Is neutral.
10;0ff2f241b4b59f68;088ad89dda85c50e;74fc594be179de7b;2024-10-09T17:24:43.000Z;Kies mij. Ik zou de perfecte dictator zijn. Autochtonen laat ik voorlopig gerust. Zij bouwen al jaren dit land op dat allochtonen willen innemen. Allochtonen zijn op 12 weken geintegreerd en aangepast. Wie niet wil, begeleid buiten!;1.0;1.0;5;98;autochtonen;2024-10-13 10_18_03.146116;0.622381448745728;0.005020003765821;0.000171626670635;0.000049650054279;0.000186660778127;0.539753258228302;0.000086455525889;1. Against immigration, migrants, foreigners, refugees, or Muslims.
11;376c91f14c4ab5a4;ec7f783c657d6db9;ffdc4d978868b154;2024-10-11T19:31:50.000Z;Groot gelijk. Wij autochtonen moeten ook gewoon oprotten. Weg met ons! Alle kabinetten sinds eind jaren 90 werken er immers hard aan.;;;3;71;autochtonen;2024-10-13 10_18_03.146116;0.915475189685822;0.496241658926010;0.000774699321482;0.000006616334304;0.000007233049928;0.838206470012665;0.000065652755438;1. Against immigration, migrants, foreigners, refugees, or Muslims.
12;c33f3550b885e6ee;df97e4e566f94c6f;f6ea4a56e6417f9d;2024-10-09T16:13:27.000Z;Integreren noemt men dat zeker?.... van de autochtonen welteverstaan...;;;4;229;autochtonen;2024-10-13 10_18_03.146116;0.176840052008629;0.000189813319594;0.000548744865227;0.000034779986890;0.000015038323909;0.004656563978642;0.000158939481480;1. Against immigration, migrants, foreigners, refugees, or Muslims.
13;2ce8d921d50f6594;7f3ac0343c2ebf1b;73d0329c0cabf0cc;2024-10-11T18:20:49.000Z;"Om onze welvaart te behouden dienen we de derde wereld uit te nodigen?
Hoe had je je dat voorgesteld wanneer niet westerse import meer kost dan dat het oplevert?
Nog afgezien van het feit dat de meeste autochtonen de multiculturele samenleving niet direct als een zegen ervaren.";3.0;;12;292;autochtonen;2024-10-13 10_18_03.146116;0.104417160153389;0.000570805161260;0.000094578252174;0.000075390780694;0.000058919373259;0.031752370297909;0.000392817310058;1. Against immigration, migrants, foreigners, refugees, or Muslims.
