rank;id;tweeter;tweeterid;time;text;replies;reposts;likes;views;query;datetime;Hate Score;Hate Threatening Score;Self-Harm Score;Sexual Score;Sexual Minors Score;Violence Score;Violence Graphic Score;position
1;bef0911c7b358d27;2658f96e60fa5608;a58d71e210cab070;2024-09-17T10:54:41.000Z;Hopelijk zet dit een streep door de uitgaven aan vreemdelingen en oekraïne;;6;9;171;vreemdelingen;2024-10-04 12_38_17.294265;0.020619789138436;0.000020437910280;0.001366962445900;0.000312865973683;0.000036456662201;0.003445195266977;0.000070300113293;1. Against immigration, migrants, foreigners, refugees, or Muslims.
2;36ded841bab6eb5c;60bc7b9d306f4c27;c0f8249c1ce384b1;2024-09-30T10:46:16.000Z;Tja, als het aan de gemiddelde @volkskrant lezer zou liggen dan zouden we tot in de oneindigheid overspoeld blijven worden met vreemdelingen en gelukszoekers. Helaas is VVD nog steeds onderdeel van de huidige coalitie. Van der Burg is een linkse rat.;1.0;17;58;734;vreemdelingen;2024-10-04 12_38_17.294265;0.201071590185165;0.000043162428483;0.000079000812548;0.000210043435800;0.000132186600240;0.067313164472580;0.000833464902826;1. Against immigration, migrants, foreigners, refugees, or Muslims.
3;61a596c984fb6dac;2ed3ac9e5775f2b4;fe543c2e20e782e6;2024-10-04T09:11:13.000Z;"Faber deed inspiratie op voor “Vreemdelingen niet welkom” borden in Denemarken, Keijzer ziet er geen bezwaar tegen. Omtzigt stemt zwijgend toe en Yesilgöz vind het prachtig.

Wilders is trots op de duidelijke taal die Faber spreekt…

Toen en nu 
https://nieuws.nl/algemeen/keijzer-ziet-geen-bezwaar-tegen-terugkeerborden-in-azcs…";1.0;2;4;584;vreemdelingen;2024-10-04 12_38_17.294265;0.004997689276934;0.000023761889679;0.000016896048692;0.000207076343940;0.000219534762436;0.006927850190550;0.000127811086713;1. Against immigration, migrants, foreigners, refugees, or Muslims.
4;b7464dc7fad9c06b;52691a434504e121;4a0472a5340d4b57;2024-10-02T18:46:26.000Z;"Fractie @EdeGroenLinks stelt vragen over toename dakloosheid in Ede en regio; en wat betekent het stopzetten van de bed-bad-brood regeling voor opvang vreemdelingen voor het aantal buitenslapers in Ede?";;;2;152;vreemdelingen;2024-10-04 12_38_17.294265;0.003147386712953;0.000001594504965;0.000007610322882;0.000033915581298;0.000066766609962;0.001162354601547;0.000058935951529;5. Is neutral.
5;9bcef8c4c10a7707;26abfe5c74833688;c41e13c21a229de3;2024-09-28T08:00:41.000Z;Vertrekbonus flink omhoog. Ongewenste vreemdelingen krijgen meer voor een duurzame terugkeer.;;3;3;232;vreemdelingen;2024-10-04 12_38_17.294265;0.020960625261068;0.000555069244001;0.000166362704476;0.000036350327719;0.000010734820535;0.032364830374718;0.000231608893955;1. Against immigration, migrants, foreigners, refugees, or Muslims.
6;32576c454eb78123;708a9e5ac447405b;1e03d9081fac4faa;2024-09-29T20:00:46.000Z;"""flatgebouwen"" is @groen's voor ""vreemdelingen""";;;1;37;vreemdelingen;2024-10-04 12_38_17.294265;0.010261606425047;0.000003445954235;0.000068330671638;0.000009177519132;0.000005330687600;0.000082592086983;0.000029227214327;1. Against immigration, migrants, foreigners, refugees, or Muslims.
7;4e38ea2de361d1af;2dea14bc580238e6;f1532eba5719adb9;2024-09-13T12:45:00.000Z;Ik lees bed, bad, brood voor uitgeprocedeerde vreemdelingen? #Regeerprogramma;5.0;1;14;2,3K;vreemdelingen;2024-10-04 12_38_17.294265;0.026817377656698;0.000032896790799;0.000103137906990;0.000111756729893;0.000032736654248;0.003039788221940;0.000313186203130;5. Is neutral.
8;728497b5abb0e52e;7297bbeaa90bbef4;e55f1b90c0e4eb30;2024-09-15T09:06:04.000Z;‘Ipv meer leeflonen, meer sociale woningen, meer taallessen en meer van dit en meer van dat zou het in #Antwerpen misschien ook eens met minder, minder, minder kunnen. Minder asielzoekers, minder illegalen, minder vreemdelingen…’ #AntwerpenWeerVanOns;67.0;138;822;52K;vreemdelingen;2024-10-04 12_38_17.294265;0.104787550866604;0.001215351512656;0.000586152251344;0.000031770814530;0.000020173432858;0.033017441630363;0.000121537486848;1. Against immigration, migrants, foreigners, refugees, or Muslims.
9;82b1f5137c5c57a4;7c7be2ea8f1b713a;82f33deaf512010f;2024-10-03T10:06:50.000Z;"“Groningen houdt bed-bad-broodopvang open: 'Heeft te maken met menselijkheid'”
Oké.

Wat is zo’n Landelijke Vreemdelingen Voorziening (LVV) nou eigenlijk?

LVV-opvang voor mensen zonder papieren: geen oplossing, wel manipulatie en propaganda (deel I)";1.0;1;1;93;vreemdelingen;2024-10-04 12_38_17.294265;0.050395648926496;0.000068022956839;0.000067860266427;0.000204215029953;0.000240465145907;0.010780086740851;0.000169022227055;1. Against immigration, migrants, foreigners, refugees, or Muslims.
10;439b2c8491d367cc;9e70bb5c5b8bac73;8df5e20dd32e9eae;2024-09-21T16:18:35.000Z;In #antwerpen hebben 300 nationalisten voor het eerst met @voorpost betoogd voor #remigratie. Het verplicht terugsturen van vreemdelingen is nu absoluut nodig, om Vlaanderen als vaderland van de Vlamingen te behouden, zo klonk het. Er waren delegaties van #schildenvrienden,;47.0;68;341;17K;vreemdelingen;2024-10-04 12_38_17.294265;0.012639752589166;0.000029403536246;0.000067932269303;0.000022008242013;0.000003506267149;0.019842728972435;0.000034399952710;1. Against immigration, migrants, foreigners, refugees, or Muslims.
