date,ranking,classification,classification nr,text,id,replies,retweets,likes,quotes,total_eng,topic
2022-12-12 3:07:57,2,normal,0.842296958,"Twitter employees recognize the difference between their own politics & Twitter's Terms of Service (TOS), but they also engage in complex interpretations of content in order to stamp out prohibited tweets, as a series of exchanges over the ""#stopthesteal"" hashtag reveal.",1601746253284798469,452,3815,19258,,23525,Twitter files
2022-12-12 3:07:57,3,normal,0.8007002473,"| En comunicaciones internas, Yoel Roth aseguraba que tenían un equipo trabajando para censurar el hashtag #StopTheSteal y bloquear las cuentas que lo tuitearan.

#TwitterFiles",1602072153364520960,1,21,61,,83,Twitter files
2022-12-12 3:07:57,5,normal,0.7973869443,"Twitterの社員は、自分たちの政治とTwitterの利用規約（TOS）の違いを認識していますが、""#stopthesteal""ハッシュタグを巡る一連のやり取りで明らかになったように、禁止ツイートを排除するために、コンテンツの複雑な解釈を行っています。",1601841506951737344,1,5,22,,28,Twitter files
2022-12-12 3:07:57,9,normal,0.8133713603,Trump isn’t holding back either.. #45 @FBI #TwitterGate #HuntersLaptop #ControlledMedia #StopTheSteal,1598873735536078849,,,8,,8,Twitter files
2022-12-12 3:07:57,11,normal,0.8008177876,"The Twitter Files is the BIGGEST news story of the decade.

We now know that Twitter COLLUDED with Biden to censor posts they didn't like.

We now know that Twitter COLLUDED to alter the outcome of the 2020 election by surpressing the Hunter laptop story.

Insane.",1599209424685395968,,2,10,,12,Twitter files
2022-12-12 3:07:57,13,normal,0.8245396018,"Is this supposed to be a joke? @BretBaier to interview Microsoft president Brad Smith. To be discussed: How they plan to ""firm up future elections"". Like I trust ANY tech company on anything pertaining to elections, especially after the #twitterfiles. #stopthesteal",1601281421553070080,,,3,,3,Twitter files
2022-12-12 3:07:57,22,normal,0.7706078887,"The Twitter Files, Part 3

Deplatforming the President twitter.com/mtaibbi/status…",1601396777231732736,1,1,2,,4,Twitter files
2022-12-12 3:07:57,23,normal,0.7532108426,"This is a fascinating read: Victor Davis Hansen asks and brutally answers the question:

https://amgreatness.com/2022/12/04/how-corrupt-is-a-corrupt-media/…
#HowDeepTheSwamp #SwampNeedsDraining #DrainTheSwamp #AmericaFirst #MAGA #SaveAmerica #Trump2024 #StopTheSteal #TrueTheVote #Twitterfiles",1600501766734467074,,1,2,,3,Twitter files
2022-12-12 3:07:57,24,normal,0.8345682621,"10. Twitter Files 4
Élimination Donald Trump

Le collègue de Roth note ""une recherche arrête les tweets de #stopthesteal et, c'est du contre-discours""

Solution: ""désamplifier les comptes avec #stopthesteal dans le nom/profil"" car ""ils ne sont pas affiliés au contre-discours""",1601771969547972609,,3,3,,6,Twitter files
2022-12-12 3:07:57,25,normal,0.8203430176,"8. Twitter Files 4
Élimination Donald Trump

Les employés de Twitter constatent la différence entre leurs décisions et les conditions d'utilisation de Twitter

Ils interprétent jusqu'à plus soif comme dans cet échange sur le hashtag #stopthesteal (souvent employé par Pdt Trump)",1601769619286433792,,4,3,,7,Twitter files
